                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4111,                 3.1046,                 1.6085,                0.00483,                0.79544,                0.36923,                0.17048,                 1.4901,                 3.8397,                 1.7356,             0.00040012,             0.00040012,             0.00040012
                      1,                 1.4109,                 2.4316,                 1.5916,                 0.6566,                0.15354,                0.34679,                0.15559,                 1.4871,                 3.7165,                 1.7415,              0.0007984,              0.0007984,              0.0007984
                      2,                 1.5073,                 2.3377,                 1.6353,                0.37201,                0.41012,                0.34222,                0.13697,                 2.0158,                 3.5284,                 2.3777,              0.0011803,              0.0011803,              0.0011803
                      3,                 1.5964,                 2.3436,                 1.6931,                0.53721,                0.29738,                0.28649,                0.12839,                 1.9931,                 4.6679,                 2.2285,              0.0013441,              0.0013441,              0.0013441
                      4,                 1.5125,                 2.1643,                 1.6334,                0.26542,                0.25781,                0.24116,                0.10504,                 2.2597,                 4.2639,                 2.4983,              0.0013441,              0.0013441,              0.0013441
                      5,                 1.5051,                 2.0608,                 1.6358,                 0.1207,                0.18926,                0.10852,                0.03261,                 2.4392,                 4.5089,                 2.8265,              0.0013158,              0.0013158,              0.0013158
                      6,                 1.5225,                 2.0254,                 1.6182,                0.23824,                0.24744,                 0.1959,                0.08502,                 2.1995,                 3.4551,                 2.3426,              0.0012875,              0.0012875,              0.0012875
                      7,                 1.5811,                  1.881,                 1.6284,                0.36915,                 0.4735,                0.37602,                0.14534,                 1.9518,                 2.8758,                 2.0644,              0.0012592,              0.0012592,              0.0012592
                      8,                 1.5118,                 1.8897,                 1.6058,                0.36911,                0.38665,                0.34534,                0.17745,                 1.7772,                 2.5242,                 1.8871,              0.0012309,              0.0012309,              0.0012309
                      9,                 1.4538,                 1.7328,                 1.5884,                 0.4179,                0.43401,                0.36161,                0.16919,                 1.9025,                 2.3531,                 2.0969,              0.0012026,              0.0012026,              0.0012026
                     10,                 1.3982,                 1.6206,                 1.5252,                0.63554,                0.46761,                0.50648,                 0.2309,                 1.8162,                 1.9339,                  1.968,              0.0011744,              0.0011744,              0.0011744
                     11,                 1.4069,                 1.5713,                 1.5317,                0.62658,                0.41295,                0.44622,                0.20858,                 1.7262,                 2.1341,                 1.9019,              0.0011461,              0.0011461,              0.0011461
                     12,                 1.3609,                 1.5387,                  1.488,                 0.4688,                0.54608,                0.47758,                0.22286,                 1.9031,                 2.0042,                 2.1482,              0.0011178,              0.0011178,              0.0011178
                     13,                 1.3766,                 1.4361,                 1.4811,                0.71263,                0.48208,                0.53394,                0.25757,                 1.8998,                 1.8242,                 2.0107,              0.0010895,              0.0010895,              0.0010895
                     14,                 1.3035,                 1.4036,                 1.4172,                 0.6158,                0.41065,                0.45167,                 0.2289,                 1.7947,                 1.8922,                 1.9228,              0.0010612,              0.0010612,              0.0010612
                     15,                 1.2858,                 1.3358,                 1.4298,                0.51667,                0.50128,                0.47163,                0.23993,                 1.6586,                 1.7745,                 1.8235,              0.0010329,              0.0010329,              0.0010329
                     16,                 1.2746,                 1.2884,                 1.4238,                0.61374,                0.53954,                0.54166,                0.26219,                 1.7874,                 1.7512,                 1.8533,              0.0010046,              0.0010046,              0.0010046
                     17,                 1.2447,                 1.2298,                 1.3983,                0.81728,                0.47671,                0.61247,                0.31716,                 1.7209,                 1.7172,                 1.8676,             0.00097629,             0.00097629,             0.00097629
                     18,                 1.2535,                 1.2457,                 1.4044,                0.62876,                0.48822,                0.51731,                 0.2677,                 1.7799,                 1.8181,                 1.9546,               0.000948,               0.000948,               0.000948
                     19,                 1.3012,                 1.2045,                 1.4185,                0.70111,                0.43046,                0.49464,                0.25192,                 1.6335,                 1.7727,                 1.7398,              0.0009197,              0.0009197,              0.0009197
                     20,                 1.1891,                 1.1569,                   1.39,                0.67837,                0.49674,                0.57983,                0.31514,                 1.5761,                 1.5423,                 1.7759,             0.00089141,             0.00089141,             0.00089141
                     21,                 1.1997,                 1.1179,                 1.3801,                0.50632,                0.53635,                0.51196,                0.28386,                 1.5746,                 1.6519,                 1.7261,             0.00086312,             0.00086312,             0.00086312
                     22,                 1.2256,                 1.0895,                 1.3822,                0.71506,                0.44844,                0.53203,                0.25404,                 1.7979,                 1.9992,                 1.8929,             0.00083482,             0.00083482,             0.00083482
                     23,                 1.2414,                 1.1834,                 1.4059,                0.70807,                0.59636,                0.59615,                0.26444,                 1.7035,                 1.5474,                 1.8543,             0.00080653,             0.00080653,             0.00080653
                     24,                 1.1901,                  1.049,                 1.3747,                0.53272,                0.54314,                0.52693,                0.26748,                 1.6167,                 1.6337,                 1.8143,             0.00077823,             0.00077823,             0.00077823
                     25,                 1.1983,                 1.0674,                 1.3675,                 0.7748,                0.44262,                0.53815,                0.26998,                  1.691,                   1.74,                 1.8636,             0.00074994,             0.00074994,             0.00074994
                     26,                 1.1289,                  1.028,                 1.3176,                0.63728,                 0.5381,                0.52713,                0.29005,                 1.5533,                 1.8244,                 1.7008,             0.00072164,             0.00072164,             0.00072164
                     27,                 1.1769,                  1.025,                 1.3499,                0.89785,                 0.4107,                0.55161,                0.30018,                 1.6673,                 1.6606,                 1.8291,             0.00069335,             0.00069335,             0.00069335
                     28,                 1.1354,                0.96243,                 1.3057,                0.68496,                 0.4639,                0.55609,                0.25601,                 1.6842,                  1.667,                 1.8207,             0.00066506,             0.00066506,             0.00066506
                     29,                 1.0895,                0.91537,                 1.3068,                0.58653,                0.52196,                0.51945,                0.25822,                 1.7465,                    1.7,                 1.8771,             0.00063676,             0.00063676,             0.00063676
                     30,                 1.0864,                0.93607,                 1.2921,                0.66607,                0.46953,                0.49681,                0.25395,                 1.8143,                 1.6199,                 1.9283,             0.00060847,             0.00060847,             0.00060847
                     31,                 1.0896,                0.88619,                 1.2805,                0.53092,                0.47647,                0.50638,                0.26873,                 1.7547,                 1.8194,                 1.8393,             0.00058017,             0.00058017,             0.00058017
                     32,                 1.0746,                  0.917,                 1.2693,                0.57022,                0.54211,                0.56518,                0.28117,                 1.6532,                 1.6055,                 1.7568,             0.00055188,             0.00055188,             0.00055188
                     33,                 1.0634,                0.86927,                 1.2742,                0.74808,                0.50128,                0.60915,                 0.3234,                 1.7267,                 1.5928,                 1.7954,             0.00052359,             0.00052359,             0.00052359
                     34,                 1.0146,                0.83234,                 1.2456,                0.80612,                0.46057,                0.59668,                 0.3158,                  1.615,                 1.5221,                 1.8057,             0.00049529,             0.00049529,             0.00049529
                     35,                0.98883,                0.79818,                 1.2214,                0.69004,                0.58065,                0.61821,                0.32791,                 1.6461,                 1.4981,                 1.7306,               0.000467,               0.000467,               0.000467
                     36,                 1.0114,                 0.8218,                 1.2283,                0.77343,                0.51818,                0.63654,                0.34823,                 1.4814,                 1.5472,                 1.6402,              0.0004387,              0.0004387,              0.0004387
                     37,                 0.9989,                0.81656,                 1.2245,                0.73924,                0.54061,                0.57767,                0.32851,                 1.4717,                 1.4342,                 1.6997,             0.00041041,             0.00041041,             0.00041041
                     38,                0.98662,                0.76698,                 1.2323,                0.71827,                0.57189,                 0.6048,                 0.3204,                 1.6804,                 1.5361,                 1.7707,             0.00038211,             0.00038211,             0.00038211
                     39,                0.95312,                0.76504,                 1.2057,                0.66557,                0.59252,                0.63037,                  0.325,                 1.5164,                 1.5651,                 1.6922,             0.00035382,             0.00035382,             0.00035382
                     40,                0.87089,                0.64721,                 1.1546,                0.81859,                0.48486,                0.60157,                0.30545,                 1.6178,                 1.6702,                 1.7334,             0.00032553,             0.00032553,             0.00032553
                     41,                0.83015,                0.60889,                 1.1315,                0.71737,                0.52125,                  0.591,                0.31729,                 1.5522,                  1.589,                  1.701,             0.00029723,             0.00029723,             0.00029723
                     42,                0.81187,                 0.5967,                  1.115,                0.79587,                0.54097,                0.61263,                0.32014,                 1.4802,                 1.4483,                 1.6439,             0.00026894,             0.00026894,             0.00026894
                     43,                0.77589,                0.55446,                 1.0953,                0.71001,                0.56089,                0.61877,                0.32722,                 1.4838,                 1.4578,                 1.7144,             0.00024064,             0.00024064,             0.00024064
                     44,                0.76109,                0.55299,                 1.0861,                0.59437,                0.58513,                0.58322,                0.32333,                 1.5572,                 1.4702,                 1.7864,             0.00021235,             0.00021235,             0.00021235
                     45,                0.74389,                0.53733,                 1.0871,                0.74647,                0.54172,                0.60921,                 0.3307,                 1.5603,                 1.4826,                 1.7615,             0.00018406,             0.00018406,             0.00018406
                     46,                0.73781,                0.52704,                 1.0534,                0.75086,                0.58805,                0.65342,                0.37047,                 1.5354,                 1.4041,                 1.7497,             0.00015576,             0.00015576,             0.00015576
                     47,                 0.7272,                0.52928,                 1.0828,                0.74017,                0.61666,                0.67657,                0.37139,                  1.573,                 1.4149,                 1.7979,             0.00012747,             0.00012747,             0.00012747
                     48,                0.70441,                0.50792,                 1.0548,                0.66713,                0.59133,                0.64617,                0.35844,                 1.5591,                 1.4169,                 1.8126,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     49,                0.70805,                0.50509,                 1.0541,                0.81162,                0.50631,                0.63364,                0.36243,                 1.5619,                 1.4707,                 1.8201,             7.0878e-05,             7.0878e-05,             7.0878e-05
