                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.263,                 3.9069,                 1.5398,                0.00411,                0.81925,                 0.2694,                0.17674,                  1.028,                 3.8438,                 1.2967,             0.00012861,             0.00012861,             0.00012861
                      1,                 1.2171,                 3.1775,                  1.441,                0.00444,                0.86854,                0.40881,                0.24059,                 1.1978,                 3.8084,                 1.4345,             0.00024463,             0.00024463,             0.00024463
                      2,                 1.2457,                 2.8546,                 1.3813,                 0.0047,                0.89235,                0.34144,                0.18476,                 1.2025,                 3.8485,                 1.4466,             0.00033236,             0.00033236,             0.00033236
                      3,                 1.2248,                 2.8213,                 1.3878,                0.00427,                0.89235,                0.32008,                0.18115,                 1.2383,                 3.8782,                 1.5235,             0.00039179,             0.00039179,             0.00039179
                      4,                 1.2475,                  2.623,                 1.3845,                 0.9448,                0.10843,                0.35787,                0.18807,                 1.3632,                 3.8992,                 1.6626,             0.00042293,             0.00042293,             0.00042293
                      5,                 1.1753,                 2.5544,                  1.368,                 0.9106,                 0.0978,                0.39567,                 0.2178,                 1.4404,                 3.7703,                 1.7048,             0.00042577,             0.00042577,             0.00042577
                      6,                 1.0978,                 2.3355,                 1.2802,                 0.8057,                0.30155,                0.49242,                 0.2862,                 1.3248,                 3.4527,                 1.6302,             0.00040032,             0.00040032,             0.00040032
                      7,                 1.1062,                 2.2873,                 1.3276,                 0.6888,                0.46886,                0.51175,                0.27426,                 1.5041,                 3.1828,                   1.66,             0.00034658,             0.00034658,             0.00034658
                      8,                 1.0594,                 2.1153,                 1.2435,                0.72106,                0.43023,                0.50774,                0.29419,                 1.4329,                 3.1657,                 1.5723,             0.00026454,             0.00026454,             0.00026454
                      9,                 1.0382,                 2.0706,                 1.2338,                0.72384,                0.46748,                 0.5303,                0.31392,                 1.3437,                 3.0294,                  1.536,              0.0001542,              0.0001542,              0.0001542
