                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3004,                 3.5871,                 1.4519,                0.00585,                0.82625,                0.28769,                0.18567,                 1.0784,                 3.8838,                 1.3726,             0.00012861,             0.00012861,             0.00012861
                      1,                 1.2584,                  2.768,                  1.441,                0.08925,                0.80625,                0.38087,                0.24989,                 1.1436,                 3.6628,                 1.3887,             0.00021775,             0.00021775,             0.00021775
                      2,                 1.2179,                 2.3299,                 1.3741,                      1,                 0.0304,                0.39634,                0.25564,                 1.2472,                 3.6447,                 1.4683,              0.0002503,              0.0002503,              0.0002503
                      3,                 1.2116,                 2.2908,                 1.3792,                0.64978,                0.12273,                0.42475,                0.23853,                 1.2162,                  3.642,                  1.414,             0.00022627,             0.00022627,             0.00022627
                      4,                 1.1876,                  2.087,                 1.3237,                0.86091,                 0.1054,                 0.4341,                0.25255,                 1.2084,                 3.5796,                 1.4119,             0.00014564,             0.00014564,             0.00014564
