                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3073,                 3.5535,                 1.4556,                0.00407,                0.83001,                0.21841,                0.14661,                 1.0118,                 3.8658,                 1.3348,             0.00012861,             0.00012861,             0.00012861
                      1,                 1.1986,                 2.8245,                 1.3851,                0.00459,                0.89631,                 0.3691,                 0.2276,                 1.1025,                 3.7321,                 1.3506,             0.00021775,             0.00021775,             0.00021775
                      2,                 1.1758,                 2.4217,                 1.3376,                0.00429,                0.86854,                0.42219,                0.22976,                 1.1348,                 3.7227,                 1.3983,              0.0002503,              0.0002503,              0.0002503
                      3,                 1.2149,                 2.2916,                 1.3655,                0.09725,                 0.8062,                  0.479,                0.26667,                   1.15,                 3.6735,                 1.4145,             0.00022627,             0.00022627,             0.00022627
                      4,                 1.2046,                 2.1556,                  1.342,                0.97634,                0.06449,                0.49988,                0.28426,                 1.2093,                 3.5835,                 1.4724,             0.00014564,             0.00014564,             0.00014564
