                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3037,                 3.4444,                 1.4654,                0.00831,                0.41964,                0.19849,                0.13734,                0.98219,                 3.8148,                 1.3372,             0.00012861,             0.00012861,             0.00012861
                      1,                 1.2669,                 2.4874,                 1.4659,                0.01325,                0.41071,                 0.2313,                 0.1517,                 1.1369,                 3.6634,                 1.3771,             0.00021775,             0.00021775,             0.00021775
                      2,                 1.2295,                 2.1717,                 1.4177,                0.01686,                0.41964,                0.23223,                0.14422,                  1.194,                 3.7232,                  1.426,              0.0002503,              0.0002503,              0.0002503
                      3,                 1.2354,                 2.1484,                 1.3964,                0.02797,                0.42857,                0.25547,                  0.136,                 1.2375,                 3.7563,                 1.4267,             0.00022627,             0.00022627,             0.00022627
                      4,                 1.2248,                 1.9617,                 1.3674,                0.73221,                0.32143,                0.27622,                0.15649,                 1.2269,                 3.6723,                 1.4095,             0.00014564,             0.00014564,             0.00014564
